"","var9","var22","var23","var24","var25","var26","var27","var29","var30","var31","var33","var39","var41","var49","var50","var51","var53","var54","var55","var56","var57","var58","var59","var60","var61","var62","var63","var64","var65","var66","y"
"82","1","5","1","1","2",NA,"0","4","2","0","3","4","3","0","1","0","0","0",-0.391867884455193,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.171266248012332,0.0197662243759334,0.499188386763111,2.05914231240771,-0.397361911433702,-0.397361927099459,0.999981105327606
"84","3","5","3","0","1","5","1","4","1","0","2","4","3","0","0","1","1","1",-0.585595687096859,0.368290952157598,0.347172838532448,0.351475762752674,0.42804492790368,0.920630411654239,0.156736089324099,-0.624315601780528,0.27932427502408,-0.371145786817973,-0.397361911433702,-0.397361927099459,0.999981105327606
"86","1","5","3","2","3","7","0","4","1","0","4","4","4","0","0","0","3","3",-0.382282121514289,0.34638712585925,0.369747876799932,0.35109290959095,0.426140874918574,-1.08537866778962,0.141538522774978,0.212173261292109,0.783718413719565,-0.403285218631276,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"88","2","3","3","2","2","5","1","4","2","0","6","4","3","1","0","0","2","1",-0.189179993842576,0.365838400178246,0.348504342129994,0.350815243436507,0.42618654858844,0.920453955342007,0.151993719364516,1.16538451836629,0.197414115748701,-0.327381454136542,-0.397361911433702,-0.397361927099459,0.999981105327606
"92","3","5","1","2","4","5","1","2","2","0","2","4","3","0","0","0","1","1",0.289241360176588,0.365612878157156,0.348504342129994,0.351430570924478,0.426421421271345,-1.08537866778962,0.153632685314534,-0.122260079387336,0.529365813864577,-0.423115931877474,-0.397361911433702,-0.397361927099459,0.999981105327606
"93","1","5","3","1","3","10","0","4","1","0","5","1","3","0","0","0","2","1",-0.114898910980593,0.342976105290267,0.374438400836741,0.354556189900967,0.428276599612946,-1.08537866778962,0.148541550239251,1.11240851241729,-1.38474527656971,2.64449026202407,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"95","1","5","1","1","2",NA,"0","2","1","0","3","4","3","0","0","0","0","0",-0.368287594014582,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.15148104287922,0.657126942808758,0.632831278212359,-0.35541797976081,-0.397361911433702,-0.397361927099459,0.999981105327606
"98","2","5","3","1","2","1","1","4","2","0","0","4","3","0","0","0","3","1",3.15542847918876,0.355548957966024,0.349745061391343,0.357263996853491,0.427023621643578,-1.08537866778962,0.159031300010551,0.0701469575288406,0.736296742560185,0.561581553458746,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"101","3","5","1","0","1","5","0","2","1","0","5","4","3","0","0","0","3","3",-0.604138898030143,0.366374014978334,0.347808328885822,0.352037895940386,0.426581782159722,0.920500760372074,0.149054250544428,-1.0940599778633,0.641453400241338,-0.403285218631276,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"111","3","3","3","0","4","7","0","4","2","0","6","4","3","1","0","0","1","1",-0.340638216285433,0.342694202763904,0.374438400836741,0.352854310868569,0.425293351319375,0.920531389344343,0.145596162554887,0.208020824818316,0.369856556328394,-0.821781649899437,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"118","3","5","4","2","1","5","0","5","1","0","6","1","3","0","0","0","3","1",0.584199149040747,0.368770186452414,0.346295256615883,0.352688133804428,0.426613855616158,-1.08537866778962,0.230977685292422,1.17654419138935,0.857006450965923,1.1106871650733,-0.397361911433702,-0.397361927099459,0.999981105327606
"119","3","3","3","2","1","4","1","4","1","0","6","4","3","1","0","0","1","1",-0.240689499762766,0.350277380723049,0.356644670942263,0.350704944872188,0.427781709418802,0.921183089313555,0.174772866062846,0.584692230253173,0.650075522270359,0.0206817542217295,-0.397361911433702,-0.397361927099459,0.999981105327606
"120","3","5","4","2","1","5","0","5","1","0","5","4","3","0","0","0","3","3",-0.150308946323139,0.369164849989321,0.346295256615883,0.350955273085908,0.428832195290675,-1.08537866778962,0.143449019444322,0.185506833312728,0.88718387806739,-0.585180726339261,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"122","2","5","3","0","2","1","0","4","1","0","0","4","3","0","0","0","1","1",0.81086332691073,0.356281904534565,0.349139832483368,0.354479144197903,0.425797000072303,-1.08537866778962,0.14803808270792,-0.20401117246247,0.684564010386272,-0.186515008317834,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"135","3","0","2","0","4","1","0","3","2","0","1","4","6","1","1","0","1","1",-0.320759176090956,0.356422855797747,0.349139832483368,0.359089220537445,0.431286909986223,0.920934175737147,0.284748416972612,0.441270967362115,0.236213664879146,-0.184463555223049,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"138","1","5","0","0","0","5","1","1","2","0","5","4","3","0","0","0","2","2",-0.103914839280535,0.369362181757774,0.346295256615883,0.352146764511076,0.433021283681913,-1.08537866778962,0.200377366612721,-0.0355455270896152,-0.785507795555378,-0.697326828835797,-0.397361911433702,-0.397361927099459,0.999981105327606
"140","3","5","3","2","4","7","1","4","2","0","1","4","3","0","0","0","2","1",-0.394096026543485,0.349882717186142,0.356644670942263,0.352973977411598,0.427631203587645,0.92168894083379,0.131899805943606,-0.18162694459666,0.555232179951513,0.62996332327385,-0.397361911433702,-0.397361927099459,0.999981105327606
"146","3","5","4","2","1","1","1","5","1","0","3","4","3","0","0","0","2","1",1.56303728026054,0.366543156494152,0.347808328885822,0.360883716824797,0.427206570775813,-1.08537866778962,0.162499411343245,1.1710941185176,0.753540986618141,-0.377300146101793,2.51549477395977,2.51641329207823,4.75045908387983e-06
"148","3","5","3","0","1","1","0","4","1","0","2","1","3","0","0","0","2","1",-0.162833005643132,0.355830860492386,0.349139832483368,0.359065361335245,0.425483777266957,-1.08537866778962,0.134451830674827,-0.607543651336189,0.477633081690665,-0.044964744800685,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"152","1","1","0","0","0","1","0","1","2","0","6","4","5","1","0","0","2","1",-0.817535422556962,0.34982633668087,0.356644670942263,0.356291707962291,-2.33925060694862,-1.08537866778962,0.191169123168509,-0.403522768657739,-0.453556097439501,-0.287720027644145,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"154","2","5","3","0","2","1","1","4","2","0","3","4","3","0","1","0","1","1",-0.492393876337029,0.36902389872614,0.346295256615883,0.362169955747331,0.425240663299167,-1.08537866778962,0.126853771806721,1.15795554998776,0.641453400241338,-0.0278693023466413,2.51569690083224,2.51640537224589,4.75045908387983e-06
"156","3","2","3","0","1","6","1","4","1","0","3","4","3","1","1","0","1","1",-0.537139756629522,0.360425871672091,0.349139832483368,0.35269782712479,0.426723259063203,0.920562895619448,0.19144383252556,1.36424243022618,0.62852021719787,0.14718802837962,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"158","3","3","3","0","4",NA,"1","4","2","0","3","1","3","1","1","0","1","1",1.56999274434625,0.342863344279722,0.374438400836741,-2.82650626985213,0.426772758051135,0.920545364943859,0.140739436356446,2.54665358223707,-1.35456784946829,1.60303590774141,2.51862982426532,2.51639518960432,0.999981105327606
"160","3","5","3","2","4","7","1","4","2","0","3","4","3","0","0","0","3","1",-0.348082956437899,0.34407552514308,0.373530557474778,0.351096565168069,0.426452456970258,0.924601490453892,0.144504283352647,-0.272558815187691,0.555232179951513,-0.455255363690777,2.51629025781098,2.51642234331518,0.999981105327606
"165","3","3","3","2","4","5","0","4","2","0","1","1","3","1","0","0","3","1",-0.169328233429005,0.367417054325875,0.347172838532448,0.352338292922671,0.427096701470259,-1.08537866778962,0.226902019817722,0.150957264215591,0.490566264734133,-0.0668469111411332,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"166","1","3","3","0","3","6","0","4","1","0","6","4","3","1","0","0","1","1",-0.273585395316006,0.360905105966907,0.349139832483368,0.352027545809024,0.425457390220502,0.920767202830191,0.15786384603079,0.914407040580084,0.51643263082111,1.035467218277,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"170","3","3","3","0","4","7","0","4","2","0","4","4","3","1","0","0","2","1",-0.199941427332582,0.347740257985789,0.359005063683367,0.351538704624976,0.425113685378395,0.920908438962455,0.282526249950611,1.89933739735863,-0.358712755120697,-0.846399087032575,-0.397361911433702,-0.397361927099459,0.999981105327606
"176","1","0","0","2","3","7","0","1","1","0","0","2","3","1","0","0","1","1",0.407271291345807,0.348585965564876,0.35894454079257,0.350886295094731,0.429486570324136,-1.08537866778962,-6.30581421448417,1.29287729447175,0.464699898647198,2.17607513879119,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"177","1","5","1","1","2",NA,"0","2","2","0","6","4","3","0","0","0","0","0",-0.454673859564358,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.207930352060663,-0.115739456487239,0.240524725893635,-0.611165798868744,-0.397361911433702,-0.397361927099459,0.999981105327606
"179","1","3","3","0","0","7","0","4","2","0","6","4","3","1","0","0","1","1",-0.472196278703492,0.344921232722166,0.372622714112815,0.352310854929082,0.425121449316444,0.921551103863601,0.110190807006118,-0.307270588834735,0.697497193429739,-0.536629669770355,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"180","2","2","3","0","2","7","0","4","1","0","0","4","3","0","0","0","1","1",-0.411297248264549,0.348867868091238,0.35894454079257,0.352009729163521,0.427353570218203,0.922379397203922,0.131144391584044,-1.23217715197726,0.490566264734133,-0.829303644579066,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"181","1","5","4","2","3","7","0","5","1","0","5","1","5","0","0","0","2","1",2.59143133310464,0.347824828743698,0.359005063683367,0.351422080632421,0.426773454701931,0.921579553182075,0.179201331051529,2.66678227178351,0.460388837632709,2.37643372434956,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"182","3","0","1","0","4","5","0","2","2","0","6","4","3","1","1","0","3","1",0.498836315264132,0.363385848198894,0.349139832483368,0.351873449641458,0.425918934053263,0.921363458763471,0.164551942326091,-0.482581266206943,0.606964912125425,-0.685701927967133,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"184","3","2","3","0","4","7","1","4","2","0","5","4","3","0","0","1","1","1",-0.466701602874453,0.350277380723049,0.356644670942263,0.352325603171875,0.425912849398367,0.921308527450888,0.116039040945321,-0.377991772526778,-0.578576866859771,-0.376616328403353,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"189","1","2","4","0","0","2","1","5","2","0","1","4","4","1","0","0","1","1",-0.340104940572031,0.369164849989321,0.346295256615883,0.350644909175512,0.431220538171586,0.921320296455076,0.196883803486664,1.2660162210327,0.658697644299337,0.32087772371007,2.51609646606726,2.51641022112283,4.75045908387983e-06
"197","1","5","3","1","0","2","0","1","2","0","6","2","3","0","0","0","2","1",0.175657153268793,0.369446752515683,0.346295256615883,0.350560068820421,0.427140554206068,-1.08537866778962,0.198457130307541,7.27705730757312,-0.58288792787426,6.55524367774575,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"205","3","5","3","2","1","8","1","4","1","0","1","4","3","0","0","1","1","1",2.65216052490889,0.363977843504255,0.349139832483368,0.354382225000159,0.427051242612453,0.921076422015925,0.191884038653327,0.620766522118061,0.520743691835599,-0.702797370421177,2.51779110193366,2.51640537224589,0.999981105327606
"207","3","3","3","0","1","9","0","4","1","0","2","4","3","1","0","0","1","1",-0.386821125025709,0.352166127649676,0.352014669796251,0.354288141110939,0.425752026878401,0.920516574048595,0.150676056777688,0.768405103302616,0.542298996908045,-0.224808799413885,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"209","3","5","3","2","1","1","0","4","1","0","3","4","7","0","0","0","3","1",-0.595017771353657,0.34810673127006,0.359005063683367,0.358450594011563,0.425057321414019,0.92070960883479,-6.30581421448417,-0.258155051169654,0.352612312270438,-0.330116724929232,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"210","3","0","1","1","4","7","0","2","2","0","2","4","3","1","0","0","3","1",-0.438525109382484,0.346302555101341,0.369747876799932,0.351103988795187,0.428869969979086,0.920963008071214,0.153229694867047,-0.193467876728543,-1.67789742555514,-0.318491824060568,-0.397361911433702,-0.397361927099459,0.999981105327606
"211","3","5","3","0","1","7","1","4","1","0","0","4","3","0","0","0","1","1",-0.265338101615307,0.343990954385171,0.373530557474778,0.351853383847853,0.426042801748779,0.921149895761867,0.145134885297887,-0.728029190892198,-3.05743695019248,-0.444998098218458,2.51579640143184,2.51641046356668,4.75045908387983e-06
"212","2","5","0","0","2","7","0","1","2","0","6","4","1","0","0","0","1","1",-0.59678655713467,0.347120072427792,0.366873039487048,0.351022117376082,0.429864153392728,-1.08537866778962,0.174109017957773,-1.09652548701943,-1.78567395091746,-0.976324449681059,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"213","1","5","1","2","0","4","0","2","2","0","1","4","3","0","1","0","1","1",5.48256977153611,0.342919724784994,0.374438400836741,0.350656856252716,0.433538850419334,-1.08537866778962,0.209317161254077,1.02621301467886,0.788029474734054,1.16676021632183,-0.397361911433702,-0.397361927099459,0.999981105327606
"226","3","2","3","2","1","7","1","4","1","0","5","4","3","0","0","0","1","1",-0.0365047411834192,0.347204643185701,0.366873039487048,0.351030842914342,0.425766520232343,0.920835837530611,0.181204358680537,1.47843929938839,0.839762206907966,-0.0251340315539515,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"227","1","5","1","1","2","9","0","4","2","0","2","4","3","0","0","0","0","0",0.0995923247460584,-2.81034376124603,-2.80832952825954,0.353842085879103,-2.33925060694862,-1.08537866778962,0.144278295555871,1.35331470970942,0.749229925603652,1.04298921295663,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"235","1","4","3","0","2","1","0","4","0","1","4","4","3","0","0","0","1","1",1.34977451465791,0.359016359040279,0.349139832483368,0.362159461191681,0.425859400045689,0.920653719552362,0.262328118282842,0.808631831641113,-3.22556832975764,0.38994331122308,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"238","3","5","4","0","1","6","0","5","1","0","4","4","3","0","0","0","1","1",-0.508817184311754,0.356930280345199,0.349139832483368,0.350825877708462,0.42944156949072,-1.08537866778962,0.18045960484594,-0.311682552588082,0.369856556328394,-0.432005561953449,-0.397361911433702,-0.397361927099459,0.999981105327606
"239","3","0","3","0","1","4","0","4","1","0","4","4","3","1","0","0","1","1",-0.16706049165908,0.343229817563993,0.373833171928766,0.35072900364537,0.426705265150137,0.920791806393391,0.190943108605709,-0.719497231575187,-0.811374161642313,0.805020654000111,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"240","3","2","3","2","4","1","0","4","2","0","5","4","3","0","0","0","2","1",-0.557219435210727,0.368065430136508,0.347172838532448,0.372717914001305,0.425362932104177,0.922623063343918,0.116648589124769,0.695283292274326,-0.0138278739613528,-0.246007148056964,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"247","3","5","4","0","4","9","0","5","2","0","2","4","3","0","1","0","1","1",-0.358691271158518,0.351686893354861,0.353225127612202,0.354705062246646,0.428068050025662,-1.08537866778962,0.166190242008966,-0.165828221450648,0.645764461255827,-0.346528349684835,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"248","1","5","1","1","2",NA,"0","2","2","0","1","4","3","0","0","0","0","0",-0.0409372655506709,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.155994354910126,0.995296827496041,0.460388837632709,-0.35541797976081,-0.397361911433702,-0.397361927099459,0.999981105327606
"253","3","2","3","2","1","5","1","4","1","0","6","4","1","0","0","0","1","1",0.71996005767286,0.369249420747229,0.346295256615883,0.352789085930616,0.425349271128266,0.920559220954348,0.109303095210798,-0.403652532297516,0.654386583284848,0.102739877999748,2.51634599898457,2.51639518960432,4.75045908387983e-06
"254","3","5","3","2","4","7","0","4","2","0","6","4","3","0","1","0","2","1",-0.282101966852417,0.343793622616717,0.373530557474778,0.350900502215521,0.426041578310312,-1.08537866778962,0.184188540676438,-0.361187381172309,0.658697644299337,-0.519534227316846,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"258","3","0","1","2","4","7","1","2","2","0","0","4","1","0","0","0","2","1",-0.131344218778642,0.34407552514308,0.373530557474778,0.351424530450457,0.426548396131983,0.920519243159828,0.19245256479823,-0.738572486626125,-3.01432634004754,-0.141383040239522,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"261","3","1","3","2","1","7","0","4","1","0","5","4","3","0","1","0","1","1",-0.388546791153076,0.346189794090797,0.369747876799932,0.351188050336603,0.42549597598567,0.921064961685677,0.145576218356751,0.888760879218848,0.460388837632709,0.57252263662897,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"263","1","3","3","0","0","5","1","4","2","0","2","4","3","1","0","0","1","1",-0.299992223034399,0.3696158940315,0.346295256615883,0.350928867650438,0.427792463347875,0.921595522922461,0.169648601607834,1.31626719054602,0.606964912125425,0.469266164208408,2.5158266162736,2.51640537224589,4.75045908387983e-06
"268","3","5","4","0","1","1","0","5","1","0","1","4","3","0","0","0","1","1",-0.588523423561231,0.36707877129424,0.347808328885822,0.367004640333266,0.429225510195914,-1.08537866778962,0.172244802752657,-0.242802066126607,0.88718387806739,-0.674077027099004,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"271","1","3","3","0","3","10","1","4","1","0","3","1","3","1","0","0","1","1",-0.135305066937447,0.346584457627704,0.369747876799932,0.354934869463262,0.426086554312187,0.920726713908699,0.146356935008581,-1.19303719412199,0.546610057922534,-0.17283865435492,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"273","3","0","0","2","4","7","0","1","2","0","1","1","3","1","0","0","1","1",3.24161234636536,0.342976105290267,0.374438400836741,0.350824710170576,0.427426175343613,-1.08537866778962,0.191280453781035,5.62831294116104,0.473322020676176,3.05136179242356,-0.397361911433702,-0.397361927099459,0.999981105327606
"276","3","1","0","0","1","1","0","1","1","0","1","1","3","1","0","0","2","2",0.605150900611732,0.353660211039396,0.351137087879687,0.354854361981886,0.430568602321983,-1.08537866778962,0.21764997286641,2.47401838485795,0.606964912125425,2.69919567787626,-0.397361911433702,-0.397361927099459,0.999981105327606
"283","3","5","3","2","1","5","1","4","1","0","1","4","3","0","0","0","2","1",-0.37744304041512,0.369813225799954,0.346295256615883,0.350876056779485,0.4260654211325,-1.08537866778962,0.187498295184999,1.05774557915081,0.188791993719722,-0.10240543144503,2.51558229281177,2.51640876645975,4.75045908387983e-06
"285","1","5","3","2","2",NA,"0","4","0","1","1","4","1","0","0","0","0","0",-0.28201132758099,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.236516043330881,-0.766796078283017,-1.74256334077252,0.425501831526977,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"288","3","5","3","2","4","7","1","4","2","0","2","1","3","0","1","0","2","1",0.608904950433668,0.351292229817953,0.353225127612202,0.351296407355588,0.425252159161337,-1.08537866778962,0.106552576466789,-0.570496132172787,0.503499447777643,-0.116081785407944,2.51542132063755,2.51639518960432,0.999981105327606
"292","3","5","3","0","4","7","1","4","2","0","2","4","3","0","1","0","1","1",-0.284897704377722,0.347740257985789,0.359005063683367,0.351749546897756,0.429012146939686,-1.08537866778962,0.168823875594985,-0.874499899318574,0.650075522270359,-0.547570752941114,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"293","1","0","2","0","0","7","0","3","2","0","2","4","3","1","0","0","1","1",-0.19253452687574,0.343483529837719,0.373833171928766,0.350806460174346,0.434620603581633,0.921513267867107,0.231764960748429,0.00247521937230021,0.335368068212438,-0.360204703647749,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"295","3","3","3","2","1","5","1","4","1","0","6","4","3","1","0","0","1","1",-0.421325647646986,0.364400697293799,0.349139832483368,0.351738250310472,0.426061649695886,0.920581292858922,0.10468321566595,-0.921441896016832,-1.41492270367118,-0.635099418303977,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"297","1","5","1","0","2","2","1","2","2","0","2","4","3","0","0","0","0","0",-0.166825533547862,-2.81034376124603,-2.80832952825954,0.350427164376398,-2.33925060694862,-1.08537866778962,0.209104919785139,-0.232818700498359,0.88718387806739,-0.486710977805639,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"299","1","0","1","0","2","2","0","2","0","1","1","4","1","1","0","0","2","2",-0.519552218013859,0.361807194051266,0.349139832483368,0.350427164376398,0.430848180313053,0.92112482311214,0.176387351819899,-0.154700989337724,0.076704407342962,-0.410328540921997,2.51764419528923,2.51640197803204,4.75045908387983e-06
"300","3","5","4","0","1","1","0","5","1","0","5","4","3","0","0","0","1","1",-0.511759000662418,0.368150000894417,0.347172838532448,0.360910920379146,0.427896631900133,-1.08537866778962,0.152754720927855,-0.384382631786912,0.809584779806542,-0.557828018413433,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"306","3","5","0","2","1","7","0","1","1","0","3","4","3","0","0","0","1","1",-0.21982838746321,0.34810673127006,0.359005063683367,0.351340858582258,0.431285392048249,-1.08537866778962,0.234206546796292,-0.0292195496493701,0.425900349516753,-0.826568373786377,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"312","3","3","3","2","4","2","1","4","2","0","6","4","1","1","0","0","3","2",-0.571140923297313,0.368911137715595,0.346295256615883,0.350640596970317,0.426886761761189,-1.08537866778962,0.16471457331441,-1.17603815730804,0.486255203719643,-1.12676434327418,2.51734465159935,2.51640537224589,4.75045908387983e-06
"313","3","0","2","1","4","7","0","4","2","0","2","4","3","1","0","0","1","1",-0.438939586050551,0.344188286153624,0.373530557474778,0.351142226949409,0.431080921107758,0.920742519828682,0.174556949875823,-0.439629501432572,0.0379048582125171,0.671676202861032,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"315","3","5","3","0","1","7","0","4","1","0","6","4","1","0","0","0","2","1",-0.314067709882934,0.343878193374626,0.373530557474778,0.351364340364588,0.428213189713877,-1.08537866778962,0.15882542898068,-0.631614806519472,0.335368068212438,-0.505174055655493,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
